source_row,quantity,lot_classification,seed_category,equipment_needed,clean_equipment_name,specification,unit,module,remarks
38,1,Office Equipment,Office Equipment,Fixed Whiteboard and Blackboard,Fixed Whiteboard and Blackboard,4' x 6',unit,1 to 16,
39,1,ICT Equipment,ICT Equipment,Laptop for lectures and laboratories,Laptop,"Apple MacBook Air Laptop
Model: MacBook Air 13-inch (M4)
Processor: Apple M4 chip (10-core CPU, 10-core GPU, 16-core Neural Engine)
Memory: 16 GB Unified Memory
Storage: 512 GB SSD
Display: 13.6-inch Liquid Retina (2560 × 1664), P3, True Tone
Camera: 12 MP Center Stage
Audio: Four-speaker system with Spatial Audio
Connectivity: Wi-Fi 6E, Bluetooth 5.3
Ports: 2× Thunderbolt 4 / USB-C, MagSafe 3, 3.5 mm headphone jack
Keyboard: Backlit Magic Keyboard with Touch ID
Battery Life: Up to 18 hours
Operating System: macOS (latest version)
Weight: Approx. 1.24 kg",unit,1 to 16,
40,1,Office Equipment,Office Equipment,Portable Sound system,Portable Sound System,"Portable PA sound system; built-in amplifier; Bluetooth / USB / AUX support; rechargeable battery; suitable for indoor and outdoor use
289x472x275mm, Mixer 308x180x116mm",unit,1 to 16,
41,1,Other Equipment,Other Equipment,"DSLR (GPS) with Tripod (EOS 7000) Kit EF-S, L-8, 135mm",DSLR Camera with Tripod,Canon EOS 7000 DSLR Kit; APS-C sensor; built-in GPS; EF-S lens kit (18–135 mm); includes tripod; suitable for photo and video documentation,unit,1 to 16,
42,1,Other Equipment,Other Equipment,Microphone and Speaker,Microphone and Speaker,"Professional microphone and speaker system; wired or wireless microphone; suitable for presentations, meetings, and events",unit,1 to 16,
43,1,ICT Equipment,ICT Equipment,Printer with scanner (3 n 1),Printer with Scanner,"Model: Epson EcoTank L3250 A4 All-in-One Printer
Print/Scan/Copy functions
Ink tank system with high page yield
Wi-Fi & USB connectivity
Supports A4 printing and borderless up to 4R",unit,Module 1 to 16,
44,1,Office Equipment,Office Equipment,Smart TV,Smart Tv,Smart LED TV; minimum 50-inch display; Full HD or 4K resolution; Wi-Fi enabled; HDMI and USB ports; wall-mountable,unit,1 to 16,
45,1,Office Equipment,Office Equipment,Multimedia Projector (fixed to classrooms and laboratories),Multimedia Projector,"Fixed multimedia projector for classrooms/laboratories; minimum 3,500 lumens; Full HD support; HDMI/VGA inputs; ceiling mount compatible",unit,1 to 16,
46,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Virtual Reality Equipment,Virtual Reality Equipment,"Augmented Reality (AR) and Virtual Reality (VR) Headset
AR/VR Headset with complete set of accessories
Display: LCD with local dimming
Resolution: 2064 x 2208 pixels per eye or higher
RAM: 8 GB or higher
Storage: 128 GB or higher
with inside-out tracking
with touch plus controllers
with 65 inches SMART TV for casting/ screen mirroring
with full-color pass through
with battery (2-3 hrs active use)
with Wi-Fi or Bluetooth Connectivity
estimated unit cost around Php 40,000.00",unit,1 to 16,
47,1,Technical and Scientific Equipment,Technical and Scientific Equipment,Automatic Weather Station (Base Sensor Suite),Automatic Weather Station (base Sensor Suite),All-in-one station or modular sensors mounted on mast. Includes: Aspirated air temperature sensor; Relative humidity sensor; Barometric pressure sensor; Electronic tipping-bucket rain gauge (heated optional); 3-cup ultrasonic anemometer (wind speed & direction); Pyranometer / solar radiation sensor; Data logger with SD storage. IP65/67 enclosure. Weatherproof cabling. Compatible with WeatherMaster data ingest.,set,"2,3,4,5,6, and 7",
48,1,ICT Equipment,ICT Equipment,Knowledge portal,Knowledge Portal Server,"Knowledge portalDual-socket platform (Dell R750 / Lenovo SR650), or single-socket with high core count (Xeon Gold / AMD EPYC)
Memory: 128 GB+
Storage: 2 × 1–2 TB NVMe (OS/DB) + 4 × 2–4 TB SATA/NVMe for file/backup (RAID10)
Network: 2 × 10 GbE + 1 × 25 GbE option
PSU: Dual redundant, high-efficiency
Warranty: 3–5 year on-site plus optional HW support SLAs",unit,2026-01-16,
